IDvec,time,Tm,Tb,X,V,A,wind,slope,mu
"CoastDown_1",0,20,0,0,0.01,3.38007360244228,0,0,0.7
"CoastDown_1",0.0012276872710139,20,0,1.38159959516366e-05,0.0115774472847288,-0.282158860836108,0,0,0.7
"CoastDown_1",0.00223761855318582,20,0,2.55572825747881e-05,0.011675875837149,-0.0136363935327826,0,0,0.7
"CoastDown_1",0.00319922086711108,20,0,3.68297268793027e-05,0.0117697390807101,0.0718540265159532,0,0,0.7
"CoastDown_1",0.00384883037071714,20,0,4.44959349052576e-05,0.0118331863951171,0.0851616275964602,0,0,0.7
"CoastDown_1",0.00456904406980696,20,0,5.30436892964079e-05,0.0119036290911079,-0.0136363956596207,0,0,0.7
"CoastDown_1",0.00527990233895689,20,0,6.15300981345345e-05,0.0119730717052654,-0.0136363959840921,0,0,0.7
"CoastDown_1",0.00599868199644359,20,0,7.01606629153514e-05,0.0120432881469889,-0.0136363964237918,0,0,0.7
"CoastDown_1",0.00670639053242804,20,0,7.87077708476433e-05,0.0121124230681903,-0.0136363967963949,0,0,0.7
"CoastDown_1",0.00743355037759102,20,0,8.75411954563617e-05,0.0121831368442538,0.344204438643032,0,0,0.7
"CoastDown_1",0.009128717443128,20,0,0.000108333827512364,0.0123475114827492,1.68393290160783,0,0,0.7
"CoastDown_1",0.0107204608834243,20,0,0.000128113349889862,0.0125029869123489,1.68393295066138,0,0,0.7
"CoastDown_1",0.0116677626553551,20,0,0.000140002686542385,0.012597006425724,0.0781171145648839,0,0,0.7
"CoastDown_1",0.0129520634076124,20,0,0.000156261067634589,0.0127209613350659,1.68393294920832,0,0,0.7
"CoastDown_1",0.0136275752495782,20,0,0.000164877364178423,0.012788878286886,-0.367948997017604,0,0,0.7
"CoastDown_1",0.0143123445712876,20,0,0.00017365721391831,0.0128554365949878,-0.0136278522874853,0,0,0.7
"CoastDown_1",0.0151770278772356,20,0,0.000184809514231391,0.0129399061358978,-0.0136364014993747,0,0,0.7
"CoastDown_1",0.0154521015207403,20,0,0.000188372608805107,0.0129667775376148,-0.0135279664962481,0,0,0.7
"CoastDown_1",0.0157908035242406,20,0,0.000192770050698319,0.0129997640794123,0.0915920650133524,0,0,0.7
"CoastDown_1",0.0173692184616392,20,0,0.000213410194252091,0.0131524168529786,1.67911621910735,0,0,0.7
"CoastDown_1",0.0193365984742337,20,0,0.000239477188545922,0.0133457403769327,0.50239278782391,0,0,0.7
"CoastDown_1",0.0214232405639893,20,0,0.000267537379760966,0.0135498126764235,0.262737826742435,0,0,0.7
"CoastDown_1",0.0234497289773017,20,0,0.000295196049446646,0.0137475041164694,0.528174178413707,0,0,0.7
"CoastDown_1",0.0255315849192016,20,0,0.000324028253998698,0.013949737431018,1.62900126764942,0,0,0.7
"CoastDown_1",0.0278025341096867,20,0,0.00035596232605937,0.0141729541863925,0.290280398594697,0,0,0.7
"CoastDown_1",0.0301429675846719,20,0,0.000389400694220472,0.0144008273549336,1.0015515415477,0,0,0.7
"CoastDown_1",0.0326018655675374,20,0,0.000425108536714599,0.0146405693816734,1.41472769200191,0,0,0.7
"CoastDown_1",0.0351047960514814,20,0,0.000462062409636045,0.0148857270389143,0.798370814341648,0,0,0.7
"CoastDown_1",0.0376458755583097,20,0,0.000500205566539892,0.0151342775408504,0.501257799037806,0,0,0.7
"CoastDown_1",0.0402303071513052,20,0,0.000539646477009725,0.0153858995246941,1.23975088150477,0,0,0.7
"CoastDown_1",0.0428568698811152,20,0,0.000580398872771274,0.0156429885245138,0.781721668221854,0,0,0.7
"CoastDown_1",0.0455271837386937,20,0,0.000622520951095782,0.0159041830235753,0.482141116985316,0,0,0.7
"CoastDown_1",0.048243071030274,20,0,0.000666076417904228,0.0161686508448122,1.18129795993816,0,0,0.7
"CoastDown_1",0.0510032216370312,20,0,0.000711080005354299,0.0164388031985104,0.734359124565392,0,0,0.7
"CoastDown_1",0.0538093491165991,20,0,0.000757596159466196,0.0167132646596573,0.449780771873508,0,0,0.7
"CoastDown_1",0.056666312829471,20,0,0.000805745263142941,0.0169925793331127,0.264485161513504,0,0,0.7
"CoastDown_1",0.0595675264957173,20,0,0.000855456092248697,0.0172759028490774,0.331657643210865,0,0,0.7
"CoastDown_1",0.0625165484918191,20,0,0.000906828768809516,0.0175640925593613,0.245230210810295,0,0,0.7
"CoastDown_1",0.0655150945525939,20,0,0.000959935249569145,0.0178570030047527,0.250585596827263,0,0,0.7
"CoastDown_1",0.0685638805916864,20,0,0.00101483205173446,0.0181547442218842,0.313305189683044,0,0,0.7
"CoastDown_1",0.071662907903055,20,0,0.00107156408749639,0.0184575829685366,0.234555976297108,0,0,0.7
"CoastDown_1",0.074813986483291,20,0,0.00113021095233351,0.0187653911749729,0.241696258716005,0,0,0.7
"CoastDown_1",0.0780234978763783,20,0,0.00119094246682409,0.0190781534792549,0.784845704657063,0,0,0.7
"CoastDown_1",0.0812809216649561,20,0,0.00125360951729127,0.0193958899905666,1.10465700592701,0,0,0.7
"CoastDown_1",0.0845924021765133,20,0,0.00131837901149307,0.0197192700301054,1.16410257350971,0,0,0.7
"CoastDown_1",0.0879586710606858,20,0,0.00138531807868727,0.0200486944372577,0.752809139456258,0,0,0.7
"CoastDown_1",0.0913818066415855,20,0,0.00145452313619734,0.0203825791687081,1.08356699457696,0,0,0.7
"CoastDown_1",0.0948617390377561,20,0,0.00152604978188284,0.0207223837615661,1.16002499727771,0,0,0.7
"CoastDown_1",0.0983992243913657,20,0,0.00159997187020644,0.0210685674340635,0.746233857788078,0,0,0.7
"CoastDown_1",0.101996477855292,20,0,0.00167639652001329,0.0214194414259844,1.07314541967656,0,0,0.7
"CoastDown_1",0.105658053869493,20,0,0.00175548592482261,0.0217778969868673,0.580332495258164,0,0,0.7
"CoastDown_1",0.109375455119214,20,0,0.00183712096046617,0.0221413824735364,0.362994745916339,0,0,0.7
"CoastDown_1",0.113154938753632,20,0,0.00192150329718974,0.0225107577405481,0.258072138465028,0,0,0.7
"CoastDown_1",0.116997664528248,20,0,0.0020087282414327,0.022886202679567,0.22071754673166,0,0,0.7
