IDvec,time,Tm,Tb,X,V,A,wind,slope,mu
"CoastDown_1",100.000000000001,0,0,286.513908926787,5.59923876004691,0.0587165459586429,0,0,0.7
"CoastDown_1",102.949638502027,0,0,302.528489051237,5.25973640586475,-0.0527661765323814,0,0,0.7
"CoastDown_1",105.720958024084,0,0,316.665428445709,4.9428839314658,-0.100403399135945,0,0,0.7
"CoastDown_1",108.327649888407,0,0,329.163512007148,4.64659894998353,-0.0631522995637088,0,0,0.7
"CoastDown_1",110.777090904062,0,0,340.205685699043,4.36966756937113,-0.0558337400222406,0,0,0.7
"CoastDown_1",113.080919558908,0,0,349.97384239133,4.11040899045503,-0.0330855382032144,0,0,0.7
"CoastDown_1",115.24802322679,0,0,358.61826034503,3.86757017346947,-0.0944877975472645,0,0,0.7
"CoastDown_1",117.28758874924,0,0,366.274064405673,3.63983813052982,-0.0909122059515475,0,0,0.7
"CoastDown_1",119.208345330888,0,0,373.059913849422,3.42605322838893,-0.0385364538926301,0,0,0.7
"CoastDown_1",121.01544525309,0,0,379.069887670651,3.22550304257803,-0.00999285592185794,0,0,0.7
"CoastDown_1",122.716651326114,0,0,384.396935110783,3.03721189364881,-0.0884348276599904,0,0,0.7
"CoastDown_1",124.318862193323,0,0,389.121388845857,2.86025740896648,-0.0841524821975276,0,0,0.7
"CoastDown_1",125.827800498649,0,0,393.31182798369,2.69393849512409,-0.082860065169519,0,0,0.7
"CoastDown_1",127.249932506145,0,0,397.031679201704,2.53744545805635,0.018089200384496,0,0,0.7
"CoastDown_1",128.588553681983,0,0,400.329944756172,2.39041416284494,-0.081631256951716,0,0,0.7
"CoastDown_1",129.849820554675,0,0,403.25762770911,2.25205269969626,-0.0763552138167337,0,0,0.7
"CoastDown_1",131.038115161194,0,0,405.856367505096,2.12185878770773,-0.0748576229787414,0,0,0.7
"CoastDown_1",132.157903277753,0,0,408.163777856671,1.99928161338271,0.0764303568918823,0,0,0.7
"CoastDown_1",133.213267583162,0,0,410.212881857101,1.88391697493091,-0.0735350223060706,0,0,0.7
"CoastDown_1",134.207415628351,0,0,412.031789208541,1.77531463529229,-0.0669414926612839,0,0,0.7
"CoastDown_1",135.144266119829,0,0,413.647090669896,1.67305121298069,-0.0651277187856618,0,0,0.7
"CoastDown_1",136.027289947191,0,0,415.081908158098,1.57670518126735,0.126040959539643,0,0,0.7
"CoastDown_1",136.859338092161,0,0,416.356088199353,1.48601303876605,0.0236626923088129,0,0,0.7
"CoastDown_1",137.643890254776,0,0,417.488420015741,1.40054288762831,-0.0740862122511333,0,0,0.7
"CoastDown_1",138.383197606457,0,0,418.494090144011,1.32000262759127,0.175842244472576,0,0,0.7
"CoastDown_1",139.079881082355,0,0,419.387315556141,1.24417340430788,0.0915873823850744,0,0,0.7
"CoastDown_1",139.736486210556,0,0,420.18080099511,1.17274009724307,-0.0670396494842355,0,0,0.7
"CoastDown_1",140.355479276487,0,0,420.885880682181,1.10540595127325,-0.0634112169225656,0,0,0.7
"CoastDown_1",140.939261341019,0,0,421.51266770777,1.04191629617807,-0.00309733658956649,0,0,0.7
"CoastDown_1",141.48925723568,0,0,422.069278182158,0.982111254129343,0.132833793631136,0,0,0.7
"CoastDown_1",142.007607747232,0,0,422.563763282948,0.925784024254731,-0.0358954240426231,0,0,0.7
"CoastDown_1",142.496277382463,0,0,423.003192969868,0.872679845396493,-0.0253576499784204,0,0,0.7
"CoastDown_1",142.956924650823,0,0,423.393665413175,0.822631146147199,-0.0281301763839706,0,0,0.7
"CoastDown_1",143.3913597374,0,0,423.740796064283,0.775439193247488,-0.0470926148222665,0,0,0.7
"CoastDown_1",143.800703565754,0,0,424.049118725683,0.730975798127802,-0.00622617466642377,0,0,0.7
"CoastDown_1",144.18655397845,0,0,424.323083882184,0.689073681279669,-0.0329745468055812,0,0,0.7
"CoastDown_1",144.550296319802,0,0,424.566546940968,0.649575548451375,-0.0333498925461411,0,0,0.7
"CoastDown_1",144.893223650356,0,0,424.782921079628,0.61233599909329,0.0776750549918475,0,0,0.7
"CoastDown_1",145.21662377335,0,0,424.975276100495,0.577228618891053,0.0153915433819222,0,0,0.7
"CoastDown_1",145.521385619202,0,0,425.146153599287,0.54412361808341,0.485466108884487,0,0,0.7
"CoastDown_1",145.808620486674,0,0,425.297974405512,0.512961450036408,0.10127741465599,0,0,0.7
"CoastDown_1",146.079426728167,0,0,425.43290979526,0.483565232473194,0.160439422600344,0,0,0.7
"CoastDown_1",146.334721011714,0,0,425.552826907975,0.455850754408517,0.322873012259311,0,0,0.7
"CoastDown_1",146.57546845935,0,0,425.659430394162,0.429733734028639,0.00878392043052718,0,0,0.7
"CoastDown_1",146.802373466742,0,0,425.754146223636,0.405079012437339,0.90906811676156,0,0,0.7
"CoastDown_1",147.016205458246,0,0,425.838291140777,0.381902420698207,0.0304598962162711,0,0,0.7
"CoastDown_1",147.21782736496,0,0,425.913086161942,0.360020860786616,0.0980106459369567,0,0,0.7
"CoastDown_1",147.407914082388,0,0,425.979561984037,0.339378832759102,0.642781109944133,0,0,0.7
"CoastDown_1",147.587154700478,0,0,426.03865304657,0.319945671536619,0.0438719228690337,0,0,0.7
"CoastDown_1",147.756093255161,0,0,426.091156417816,0.301588792109214,1.09134916354483,0,0,0.7
"CoastDown_1",147.915305016231,0,0,426.137802317872,0.284338121484415,0.0791444601966512,0,0,0.7
"CoastDown_1",148.065434717811,0,0,426.17926776257,0.268048372562005,0.0847296523501883,0,0,0.7
"CoastDown_1",148.206975447459,0,0,426.216121248216,0.252685646214212,0.344124280580195,0,0,0.7
