IDvec,time,Tm,Tb,X,V,A,wind,slope,mu
"pureAcceleration_1",0,50,0,0,0.01,3.28461905698773,0,0,0.7
"pureAcceleration_1",0.000963240699318756,50,0,1.08417031618916e-05,0.0117654914229136,-0.108954893667779,0,0,0.7
"pureAcceleration_1",0.00108920391978935,50,0,1.2325033687756e-05,0.0117868439278505,-0.109090940478984,0,0,0.7
"pureAcceleration_1",0.00119395745598942,50,0,1.35606494334116e-05,0.0118045999547434,-0.108008017801257,0,0,0.7
"pureAcceleration_1",0.00131044437856199,50,0,1.49368500818749e-05,0.0118243470122454,-0.109090938629474,0,0,0.7
"pureAcceleration_1",0.00141561620992789,50,0,1.61813477728879e-05,0.0118421161659692,-0.0477982354317106,0,0,0.7
"pureAcceleration_1",0.00153207257285518,50,0,1.75615626578109e-05,0.011861915822598,-0.109090809086108,0,0,0.7
"pureAcceleration_1",0.00164887489896551,50,0,1.89481870269636e-05,0.011881715309261,-0.109090941010958,0,0,0.7
"pureAcceleration_1",0.00175408906456972,50,0,2.01992218010853e-05,0.0118995504383149,-0.109074123246035,0,0,0.7
"pureAcceleration_1",0.00187109587724365,50,0,2.15926791789526e-05,0.0119193846041291,-0.10909094117354,0,0,0.7
"pureAcceleration_1",0.0020382768351788,50,0,2.35876976286979e-05,0.0119474641273045,0.159249140249076,0,0,0.7
"pureAcceleration_1",0.00244563185683353,50,0,2.84686180958455e-05,0.0120167676153539,-0.100693105491125,0,0,0.7
"pureAcceleration_1",0.00279265175347694,50,0,3.26487917304179e-05,0.0120756000977735,-0.109090424137419,0,0,0.7
"pureAcceleration_1",0.00307291954540617,50,0,3.60397754275705e-05,0.0121230038229423,-0.00195277419446302,0,0,0.7
"pureAcceleration_1",0.0036110541300296,50,0,4.25880042893805e-05,0.0122132545144965,0.97738889344149,0,0,0.7
"pureAcceleration_1",0.00456089386640876,50,0,5.42658297399485e-05,0.0123736376526364,1.58847840566248,0,0,0.7
"pureAcceleration_1",0.00546605469779629,50,0,6.55366892885156e-05,0.0125280700413273,0.586366829111631,0,0,0.7
"pureAcceleration_1",0.00638255720749048,50,0,7.70902761756144e-05,0.0126837257198607,0.289056327907702,0,0,0.7
"pureAcceleration_1",0.00714973212509641,50,0,8.68708895938576e-05,0.0128136608026347,0.391792160560196,0,0,0.7
"pureAcceleration_1",0.00796657495923126,50,0,9.73943772987065e-05,0.0129508646977451,1.58847348255531,0,0,0.7
"pureAcceleration_1",0.00839164301150044,50,0,0.000102915321441357,0.0130241607752496,0.402440953585902,0,0,0.7
"pureAcceleration_1",0.00870252721396047,50,0,0.000106972596462859,0.0130756008393029,1.58847840149712,0,0,0.7
"pureAcceleration_1",0.0095731811921628,50,0,0.000118422476417471,0.0132231675070537,1.58847840068797,0,0,0.7
"pureAcceleration_1",0.0103213697892297,50,0,0.000128364437795597,0.0133511224333434,0.530108168021701,0,0,0.7
"pureAcceleration_1",0.0116632038251929,50,0,0.000146432069590957,0.0135774217464318,1.57261839216602,0,0,0.7
"pureAcceleration_1",0.0129483826787441,50,0,0.000164023121346122,0.0137953236478808,1.50340219719195,0,0,0.7
"pureAcceleration_1",0.0133606565589824,50,0,0.000169725469424498,0.0138670118635736,-0.109090938442308,0,0,0.7
"pureAcceleration_1",0.0134911156833778,50,0,0.000171535949294893,0.0138891262855378,-0.109033321932556,0,0,0.7
"pureAcceleration_1",0.013622578363573,50,0,0.000173363274815339,0.0139112316651519,0.0499583301680278,0,0,0.7
"pureAcceleration_1",0.0140185755134163,50,0,0.000178885320710051,0.0139784038850208,0.00889300981474053,0,0,0.7
"pureAcceleration_1",0.0143491673106813,50,0,0.000183515669338887,0.0140345770532356,-0.109090953691468,0,0,0.7
"pureAcceleration_1",0.014480022764001,50,0,0.000185353580084801,0.014056758706502,-0.109076716764601,0,0,0.7
"pureAcceleration_1",0.0146240273819366,50,0,0.000187379530137192,0.0140811693434091,-0.109090953841388,0,0,0.7
"pureAcceleration_1",0.0147549998697328,50,0,0.000189225188143094,0.0141033707219825,-0.108977454835822,0,0,0.7
"pureAcceleration_1",0.0148991340217139,50,0,0.000191259680394485,0.0141278034300131,-0.109090954186193,0,0,0.7
"pureAcceleration_1",0.0150302256979289,50,0,0.000193113132524576,0.0141500251417077,-0.109090512366634,0,0,0.7
"pureAcceleration_1",0.0151613903385511,50,0,0.000194970531721854,0.0141722550980946,-0.105499249682152,0,0,0.7
"pureAcceleration_1",0.0153057080758016,50,0,0.000197017559159022,0.0141967229211005,-0.109090954701448,0,0,0.7
"pureAcceleration_1",0.0154369821029264,50,0,0.000198882638638587,0.0142189755440426,-0.109090947912914,0,0,0.7
"pureAcceleration_1",0.0155683165108573,50,0,0.000200751499121403,0.0142412383860826,-0.109076902368002,0,0,0.7
"pureAcceleration_1",0.015741308765361,50,0,0.00020321760383254,0.0142705586722706,-0.105523832879634,0,0,0.7
"pureAcceleration_1",0.01590593716227,50,0,0.000205569187724504,0.0142984694112532,-0.109090845956138,0,0,0.7
"pureAcceleration_1",0.016050652039852,50,0,0.000207640117223499,0.0143230004299221,-0.109090955034655,0,0,0.7
"pureAcceleration_1",0.016186092802022,50,0,0.00020958154663829,0.0143456483485823,0.158464505333011,0,0,0.7
"pureAcceleration_1",0.0163271713605098,50,0,0.000211607094745163,0.0143698657858548,-0.102050746598039,0,0,0.7
"pureAcceleration_1",0.0164720845236003,50,0,0.00021369121144615,0.0143944385815057,-0.10906315060201,0,0,0.7
"pureAcceleration_1",0.0166171077552313,50,0,0.000215780474858391,0.0144190219022103,-0.109090847640807,0,0,0.7
