Xs,Vs,As,Xe,Ve,Ae,avg_acc,time,Tm,Tb
0,0,0,0,0,0,0,0,0,0
573.449654455249,10.9900863779982,0.0480885130960306,858.077513619944,0.00099999999893387,-1.74386788114558,-0.207636632716715,52.9246031117834,0,60
774.879068222316,14.6472446519009,0.116268644059406,1257.79976284372,0.000999999992403019,-1.7672940866104,-0.214044589279828,68.4261382228213,0,60
970.671731815745,18.1076301423769,0.192794806333745,1671.86555776598,0.000999999996147824,-2.89025564608686,-0.221416228362939,81.7764365162109,0,60
1161.19912000467,21.3905412632351,0.147940147329767,2088.35303707916,0.000999999999994883,-0.15828220938303,-0.229418593126838,93.2336868241955,0,60
1346.79665245641,24.5124103322446,0.139090484754578,2499.56661817793,0.000999999997883914,-0.250260047951093,-0.237802230583942,103.07477045971,0,60
1527.76822045145,27.4877914249782,0.173188357685197,2900.90405501154,0.000999999994594452,-1.177586786816,-0.24639010322489,111.558017409065,0,60
1704.390024872,30.3296906505464,0.175388559243953,3289.86278428977,0.000999999991922184,-3.11984723094585,-0.255059036263649,118.908512691173,0,60
1876.91384841338,33.0493776274835,0.187996328350349,3665.29637223339,0.000999999995379553,-2.60743382335846,-0.263721534936769,125.31543029056,0,60
2045.56985661645,35.6569845315322,0.190753582927848,4026.90153531919,0.000999999998608752,-1.34230681905411,-0.272318523841435,130.93484801752,0,60
2210.56900892772,38.1616547911774,0.131411961699417,4374.87948112835,0.000999999993571463,-2.59039213546826,-0.280811064590165,135.894413017087,0,60
2372.1051448413,40.5709794843518,0.151118156005234,4709.7188484688,0.000999999997642065,-2.38685758865044,-0.289169549039316,140.298242394942,0,60
2530.35678833455,42.8924903966544,0.137283232526774,5032.05930034357,0.000999999993356351,-2.59072220969512,-0.297379811168396,144.231345860843,0,60
2685.48872784744,45.1324549317661,0.147604169178074,5342.60690308984,0.000999999999977436,-2.58997120848492,-0.305430652301485,147.763345269019,0,60
2837.65339256102,47.2965624610422,0.213573268792325,5642.08345701717,0.000999999999941851,-3.05022985100639,-0.313316242638865,150.951518065905,0,60
2986.99205898566,49.3907151064025,0.168503921609871,5931.19617613046,0.000999999994889736,-2.05829985626507,-0.321039274785922,153.843217903299,0,60
3133.63592475536,51.4188543303546,0.224508660924292,6210.62094940829,0.000999999985172612,-0.338428881426988,-0.328595132491615,156.477833193958,0,60
3277.70703686291,53.3861289114522,0.181532531089945,6480.99420731892,0.000999999991241153,-3.0030339567222,-0.33599157351967,158.888296965982,0,60
3419.31913765766,55.2958816759531,0.184335475634748,6742.90862680852,0.000999999999747285,-1.18390733274854,-0.343228380010013,161.102300673214,0,60
3558.57839746042,57.1516433127742,0.243214434986587,6996.91333057978,0.000999999998518506,-0.332737118828078,-0.350309524487837,163.143275639827,0,60
365.970588958934,7.1141505059945,0.0647867787216255,481.208193317021,0.000999999998779789,-3.07537853792067,-0.21770070036064,32.673989997332,0,70
573.449654455249,10.9900863779982,0.0480885130806351,839.183178168689,0.000999999999894652,-3.07919724007523,-0.222724592424049,49.3393489169621,0,70
774.879068222316,14.6472446519009,0.116268644047854,1227.01864802898,0.000999999999980246,-3.06631171073761,-0.229170698839487,63.909761265594,0,70
970.671731815745,18.1076301423769,0.192794806324407,1629.1047367198,0.000999999996852579,-2.63442818215685,-0.236607174999281,76.5261245456103,0,70
1161.19912000467,21.3905412632351,0.147940147321851,2034.31016423982,0.000999999994058466,-3.11023145196326,-0.244702067430801,87.4105457621022,0,70
1346.79665245641,24.5124103322446,0.139090484747671,2435.2970584309,0.000999999995571214,-2.96223075947324,-0.253203836779038,96.8050509978617,0,70
1527.76822045145,27.4877914249782,0.173188357679055,2827.5595926716,0.000999999994862893,-3.09087391068948,-0.261932078558864,104.93862216577,0,70
1704.390024872,30.3296906505464,0.175388559238386,3208.55437455558,0.000999999999995788,-0.21185636480784,-0.270759953298901,112.013206831461,0,70
1876.91384841338,33.0493776274835,0.187996328345233,3577.03284824008,0.000999999996042096,-2.84552038332226,-0.279596221110568,118.200373010114,0,70
2045.56985661645,35.6569845315322,0.190753582923092,3932.56989487732,0.00099999999162708,-1.817077157784,-0.288378597874036,123.64296377887,0,70
2210.56900892772,38.1616547911774,0.131411961694974,4275.24632257268,0.000999999999889795,-1.92299085355571,-0.297065412552345,128.45876086114,0,70
2372.1051448413,40.5709794843518,0.151118156001055,4605.44076454006,0.000999999994601289,-2.84032199289707,-0.305624544556634,132.744506967566,0,70
2530.35678833455,42.8924903966544,0.137283232522832,4923.69656260527,0.000999999997084349,-3.02080092646862,-0.314040084889779,136.579667566041,0,70
2685.48872784744,45.1324549317661,0.147604169174317,5230.6374801052,0.000999999999923118,-0.489894107558803,-0.322299232049938,140.029669461867,0,70
2837.65339256102,47.2965624610422,0.21357326878874,5526.91542806553,0.0009999999950062,-1.81510254985919,-0.330394876698442,143.148595201174,0,70
2986.99205898566,49.3907151064025,0.168503921606438,5813.17904498436,0.000999999994127221,-2.79087597292814,-0.338328963738289,145.981338874118,0,70
3133.63592475536,51.4188543303546,0.224508660921003,6090.05518735523,0.00099999999999916,-0.19054860337671,-0.34609582747489,148.565369035213,0,70
3277.70703686291,53.3861289114522,0.181532531086778,6358.13876521163,0.000999999995664183,-2.63175913088583,-0.353702894204257,150.932123503144,0,70
3419.31913765766,55.2958816759531,0.184335475631682,6617.9879556322,0.000999999999946112,-0.50729917523819,-0.361149263308899,153.108111503078,0,70
3558.57839746042,57.1516433127742,0.24321443498362,6870.12257000469,0.000999999998515852,-0.822898168102579,-0.3684385244202,155.115818582522,0,70
