Xs,Vs,As,Xe,Ve,Ae,avg_acc,time,Tm,Tb
0,0,0,0,0,0,0,0,0,0
0,0.01,3.28461905698773,15905.3473298413,31.6309704396882,0.0241793164257568,0.0527016173994804,600,60,0
0,0.01,3.28461905698773,18120.0235136932,35.3306090080006,0.020889499274005,0.058867681680001,600,70,0
0,0.01,3.28461905698773,20124.5617203636,38.674954636562,0.00178386869120867,0.0644415910609366,600,80,0
0,0.01,3.28461905698773,21969.30493076,41.7510324969051,0.00365430651707832,0.0695683874948418,600,90,0
0,0.01,3.28461905698773,23687.2591038663,44.6149604146294,0.0249801073883906,0.074341600691049,600,100,0
0,0.01,3.28461905698773,25301.4374008579,47.3056708986159,0.023439448829108,0.0788261181643598,600,110,0
0,0.01,3.28461905698773,26828.6383599708,49.8513584295427,-0.00216304963371685,0.0830689307159046,600,120,0
0,0.01,3.28461905698773,28281.5669352113,52.273028080801,0.0101281117305906,0.087105046801335,600,130,0
0,0.01,3.28461905698773,29670.1075139515,54.5874084455306,0.00610572896902392,0.0909623474092176,600,140,0
0,0.01,3.28461905698773,31002.129423042,56.8075185710973,0.0126800299962426,0.0946625309518288,600,150,0
0,0.01,3.28461905698773,32284.018918956,58.9441284466913,0.00424940169388978,0.0982235474111522,600,160,0
0,0.01,3.28461905698773,33521.0432227246,61.0059224161211,0.00250999636373205,0.101659870693535,600,170,0
0,0.01,3.28461905698773,34717.6071640375,63.0000905241595,0.0370419196300014,0.104983484206932,600,180,0
0,0.01,3.28461905698773,35877.4387772412,64.9333206497452,0.0147687301434933,0.108205534416242,600,190,0
0,0.01,3.28461905698773,37003.7265121764,66.8106239247668,-0.00324910295874009,0.111334373207945,600,200,0
0,0.01,3.28461905698773,38099.2226188436,68.6364668390109,0.00442787212343691,0.114377444731685,600,210,0
0,0.01,3.28461905698773,39166.3223816048,70.4150139340639,0.00569996818418841,0.117341689890107,600,220,0
0,0.01,3.28461905698773,40207.1257596093,72.1497326951958,0.00666750504410753,0.120232887825326,600,230,0
0,0.01,3.28461905698773,41223.4859788364,73.843846223056,-0.0150529200422699,0.12305641037176,600,240,0
