Xs,Vs,As,Xe,Ve,Ae,avg_acc,time,Tm,Tb
0,0,0,0,0,0,0,0,0,0
418.431822004639,8.10495119945647,0.0746625498114128,702.284357325045,0.000999999999661912,-0.0897360389192885,-0.113242956872219,71.5625185290873,0,0
547.854571825816,10.5179998604337,0.0958421944246824,1006.92242149512,0.000999999999999654,-0.108507529416778,-0.116323817090189,90.4114060517769,0,0
674.893721092766,12.8445011747072,0.13854055947986,1328.95307185704,0.00099999999677332,-1.77764765984351,-0.119889213477507,107.128079350692,0,0
799.653418452644,15.0900566912069,0.191063717838162,1659.36537265172,0.000999999999958271,-0.0700327511111164,-0.123812878370813,121.869848191526,0,0
922.231041860708,17.2599731503642,0.115893353153759,1991.54973943655,0.000999999994527805,-1.94451456422132,-0.127994180490295,134.841858311506,0,0
1042.71777473439,19.358618957495,0.15978731834384,2320.91971296009,0.000999999999757055,-0.0865423899633074,-0.132350382153095,146.260393378415,0,0
1161.19912000467,21.3905412632351,0.147940147377204,2644.45332901212,0.000999999999684899,-0.108567962421449,-0.136821308662441,156.331944726583,0,0
1277.75536420931,23.3595671895662,0.16386473341807,2960.27400173106,0.000999999999651985,-0.131593082548481,-0.141358736608034,165.243180224059,0,0
1392.46199329948,25.2694465565278,0.150316795257014,3267.31260264259,0.000999999999996358,0.155633447705294,-0.1459274643958,173.157579768481,0,0
1505.390069305,27.1234246948914,0.167324868841498,3565.05319686951,0.000999999989876138,-2.53531521940879,-0.150499809234192,180.215674909571,0,0
1616.60656953577,28.9245877319876,0.21870953775467,3853.34949084209,0.000999999999996984,-0.108587919239682,-0.15505551204677,186.536985046126,0,0
1726.17469375655,30.6760936753881,0.185735790575624,4132.29560219126,0.000999999992825955,-2.27055417555629,-0.159581070087651,192.222634292067,0,0
1834.15414562306,32.3803067099531,0.197420642298599,4402.13700651377,0.000999999992474156,-1.03036673139958,-0.164063834084836,197.357978926772,0,0
1940.6013841956,34.0398344898339,0.199327639123725,4663.20968837006,0.000999999987725784,-1.02921299247539,-0.168496486295064,202.015099770323,0,0
2045.56985661645,35.6569845315322,0.190753582956298,4915.89927916431,0.000999999999038461,0.0314800097664278,-0.172873347961067,206.254954578442,0,0
2149.110208336,37.2340572819519,0.12061105816886,5160.61381566207,0.000999999991924359,-2.42427692321247,-0.177191227954769,210.129235581935,0,0
2251.27047879656,38.7724510669877,0.186645667443538,5397.76597837087,0.000999999991026773,-0.159188535997272,-0.181444706152915,213.68190832926,0,0
2352.09627198838,40.2746389928913,0.18652957402049,5627.7617848024,0.000999999999984432,-0.105157380119742,-0.18563513699146,216.950517265189,0,0
2451.63092517858,41.7419385806641,0.25253886086999,5850.99328301567,0.000999999999735004,-0.108568238392616,-0.189759801052088,219.967234099316,0,0
