IDvec,vehNum,time,Tm,X,V,A,timeGap
"CACC_5","1",0,0,0,0,0,NaN
"CACC_5","1",2.2731620858893,0.59608424571062,0.000467512151557822,0.00679839490567638,0.0721591393254951,4.83782184577893
"CACC_5","1",2.7502170447821,1.22286949232805,0.0219959585390992,0.10636689197576,0.35573500556187,2.15865082115845
"CACC_5","1",3.23025290328324,1.73873688432094,0.125037794925442,0.345576003364365,0.643912277235912,1.62693781233875
"CACC_5","1",3.71371320825117,2.20485909903679,0.379692294777929,0.732670697919885,0.948792792255236,1.41352633352407
"CACC_5","1",4.21526145730054,2.46047181474612,0.877385891363661,1.27168076600305,1.18675011446213,1.27123792090544
"CACC_5","1",4.7119227166534,2.57622106678418,1.66335196918375,1.90791658621795,1.36308963801114,1.17822250213086
"CACC_5","1",5.1688288982682,2.6533511201375,2.68137736570608,2.55588960708615,1.46319061757644,1.11327879449461
"CACC_5","1",5.6723913268142,2.63536292345418,4.15687570844514,3.30902350412539,1.51932428343287,1.056600677818
"CACC_5","1",6.17562194892801,2.59806294329334,6.01560663864346,4.07977569889889,1.53884614541939,1.01107727622855
"CACC_5","1",6.63643070710099,2.61011238715652,8.05911168590686,4.78943238340315,1.53844757426306,0.976505882015234
"CACC_5","1",7.13923375478451,2.48079411270077,10.6614595063712,5.56098835023529,1.52548339335277,0.944319573690424
"CACC_5","1",7.61787673354234,2.39760441686676,13.4958872438753,6.27749465234303,1.46154651520991,0.91538388285392
"CACC_5","1",8.10459978204211,2.20846100667047,16.7216443869421,6.9717088687608,1.38876041360695,0.889165698309487
"CACC_5","1",8.60643169659283,1.9145038645837,20.3906203420549,7.64060908617437,1.27126499662662,0.863088368185932
"CACC_5","1",9.09020849550836,1.93638326341664,24.2313740322439,8.22907144792608,1.16371959741829,0.840553103644258
"CACC_5","1",9.56631021798956,1.7005069600891,28.2780077647211,8.76337172607561,1.08216520230097,0.821102565564746
"CACC_5","1",10.0341573895038,1.63853807776571,32.4941138530729,9.25567186256636,1.02594849661108,0.80458605257375
"CACC_5","1",10.5376383163281,1.61630414168202,37.2824918113179,9.76244958424707,0.990447835407056,0.789435120908694
"CACC_5","1",11.0341619632796,1.62249762369121,42.2510249896691,10.2493868507901,0.972446054798438,0.776710080791055
"CACC_5","1",11.5,1.42974766409346,47.1298580004732,10.693352996227,0.925961189974968,0.764963854666614
"CACC_5","1",12,1.33515882368788,52.5895768077177,11.1402539716678,0.86326549620563,0.752812966208464
"CACC_5","1",12.5,1.0581760476259,58.2643138088891,11.5506125361821,0.768873022436459,0.740327501669716
"CACC_5","1",12.9718962899849,0.943021785238983,63.7968367932085,11.8898188732887,0.672508236011435,0.728623903039133
"CACC_5","1",13.4772409372212,0.699980312354235,69.8869331132093,12.2036615921686,0.564497049711877,0.716246027262428
"CACC_5","1",13.9490656643931,0.604396897080779,75.7039511449947,12.4463599013368,0.469209364439257,0.70504353504845
"CACC_5","1",14.4404902832925,0.59931589413522,81.8742175335647,12.6607544976172,0.412283701899598,0.694983288608989
"CACC_5","1",14.9487199522877,0.610141767599162,88.3608659283679,12.8640314879311,0.392477181947755,0.68654476966345
"CACC_5","1",15.4135158326465,0.648835899593594,94.3822088489834,13.0454181232549,0.389927605155029,0.680215591541636
"CACC_5","1",15.9050479980649,0.654304124909737,100.841684151139,13.2379700663918,0.394461792976778,0.674678512329962
"CACC_5","1",16.378594303102,0.534775348864546,107.154672168439,13.4236332514836,0.382186219753249,0.66968498475769
"CACC_5","1",16.8849576873681,0.473404813119616,113.999220627791,13.6071514867094,0.342999410134118,0.664069104638372
"CACC_5","1",17.370389542518,0.48818891012224,120.643726830806,13.7665531352394,0.31910703913796,0.659290356642812
"CACC_5","1",17.840242107329,0.517575507740361,127.146963733702,13.9152779915012,0.316286491938259,0.655605523511973
"CACC_5","1",18.3566269650482,0.425751052015704,134.374857838686,14.078882287692,0.316125657068867,0.652179912030073
"CACC_5","1",18.837167793899,0.457665117252587,141.176419013499,14.2283469051247,0.307017283989929,0.649197333423775
"CACC_5","1",19.3068903669743,0.46774761484277,147.893349208425,14.3706842642048,0.30016710640092,0.646604926076178
"CACC_5","1",19.813403724718,0.471781936397796,155.210581470169,14.5215716862137,0.296639340309477,0.644199617816419
"CACC_5","1",20.2716222948798,0.408749065790145,161.895697443531,14.6568640518256,0.292868640299071,0.642252513990746
"CACC_5","1",20.7778430217351,0.380598847166198,169.352187298483,14.801360755817,0.278833161929761,0.640038977052524
"CACC_5","1",21.2769240823847,0.41346933251251,176.773392912987,14.93714524158,0.26679290221896,0.638009958877603
"CACC_5","1",21.7372095392501,0.371936981046111,183.6767331634,15.0582721158933,0.260874618608475,0.636358104963073
"CACC_5","1",22.2473509290514,0.281161576092349,191.392271902534,15.1898841546834,0.255428827675367,0.63470527357428
"CACC_5","1",22.721087462871,0.253184190659328,198.61629271303,15.3069866068033,0.240977366115988,0.633044553602805
"CACC_5","1",23.2021570045434,0.267712247133218,206.007217797738,15.4187985332255,0.22326239331524,0.631313186640893
"CACC_5","1",23.7119456968516,0.150006156307784,213.894961448195,15.5231090997959,0.186317110129243,0.628918788821897
"CACC_5","1",24.1747517498505,0.167187948875363,221.097858979353,15.6015660005602,0.154214473222896,0.626617869003212
"CACC_5","1",24.669031695001,0.0966230222061206,228.826778256973,15.6690334309886,0.120210780161077,0.624003485588426
"CACC_5","1",25.1749507841702,0.168967316319516,236.768175949579,15.7230624505516,0.100976937559008,0.621618792325057
