IDvec,vehNum,time,Tm,X,V,A,timeGap
"ACC_5","1",0,0,0,0,0,NaN
"ACC_5","1",2.2731620858893,0.59608424571062,0.000467512151557822,0.00679839490567638,0.0721591393254951,4.83782184577893
"ACC_5","1",2.7502170447821,1.22286949232805,0.0219959585390992,0.10636689197576,0.35573500556187,2.15865082115845
"ACC_5","1",3.23025290328324,1.73873688432094,0.125037794925442,0.345576003364365,0.643912277235912,1.62693781233875
"ACC_5","1",3.71371320825117,2.20485909903679,0.379692294777929,0.732670697919885,0.948792792255236,1.41352633352407
"ACC_5","1",4.21526145730054,2.46047181474612,0.877385891363661,1.27168076600305,1.18675011446213,1.27123792090544
"ACC_5","1",4.7119227166534,2.57622106678418,1.66335196918375,1.90791658621795,1.36308963801114,1.17822250213086
"ACC_5","1",5.1688288982682,2.6533511201375,2.68137736570608,2.55588960708615,1.46319061757644,1.11327879449461
"ACC_5","1",5.6723913268142,2.63536292345418,4.15687570844514,3.30902350412539,1.51932428343287,1.056600677818
"ACC_5","1",6.17562194892801,2.59806294329334,6.01560663864346,4.07977569889889,1.53884614541939,1.01107727622855
"ACC_5","1",6.63643070710099,2.61011238715652,8.05911168590686,4.78943238340315,1.53844757426306,0.976505882015234
"ACC_5","1",7.13923375478451,2.48079411270077,10.6614595063712,5.56098835023529,1.52548339335277,0.944319573690424
"ACC_5","1",7.61787673354234,2.39760441686676,13.4958872438753,6.27749465234303,1.46154651520991,0.91538388285392
"ACC_5","1",8.10459978204211,2.20846100667047,16.7216443869421,6.9717088687608,1.38876041360695,0.889165698309487
"ACC_5","1",8.60643169659283,1.9145038645837,20.3906203420549,7.64060908617437,1.27126499662662,0.863088368185932
"ACC_5","1",9.09020849550836,1.93638326341664,24.2313740322439,8.22907144792608,1.16371959741829,0.840553103644258
"ACC_5","1",9.56631021798956,1.7005069600891,28.2780077647211,8.76337172607561,1.08216520230097,0.821102565564746
"ACC_5","1",10.0341573895038,1.63853807776571,32.4941138530729,9.25567186256636,1.02594849661108,0.80458605257375
"ACC_5","1",10.5376383163281,1.61630414168202,37.2824918113179,9.76244958424707,0.990447835407056,0.789435120908694
"ACC_5","1",11.0341619632796,1.62249762369121,42.2510249896691,10.2493868507901,0.972446054798438,0.776710080791055
"ACC_5","1",11.5,1.42974766409346,47.1298580004732,10.693352996227,0.925961189974968,0.764963854666614
"ACC_5","1",12,1.33515882368788,52.5895768077177,11.1402539716678,0.86326549620563,0.752812966208464
"ACC_5","1",12.5,1.05807327546198,58.2643138089988,11.550612525335,0.768874087431274,0.740327502355453
"ACC_5","1",12.9713361802579,0.943126713030335,63.7901772954087,11.8894421761023,0.672606983631479,0.728637159844941
"ACC_5","1",13.4778592228648,0.699170930664661,69.8944785713345,12.2040104215813,0.564362627298579,0.716230775471099
"ACC_5","1",13.9487822273593,0.604623212801227,75.7004234040557,12.4462269475607,0.469255362487597,0.705049922296162
"ACC_5","1",14.440820697179,0.599951825971631,81.8784008451472,12.6608907191902,0.41225458845262,0.694977200961924
"ACC_5","1",14.9484909798189,0.612368304194463,88.3579204265502,12.86394192047,0.392457859706444,0.686548176571733
"ACC_5","1",15.4135651692246,0.64905045368435,94.3828524655442,13.0454373809262,0.389925593052619,0.68021497911001
"ACC_5","1",15.9050632040742,0.654837899298965,100.841885447332,13.2379761184503,0.394456457380271,0.674678354113712
"ACC_5","1",16.3785472104951,0.53574038535244,107.154040013791,13.4236153697978,0.382179592595172,0.669685505043306
"ACC_5","1",16.8849298406695,0.474063901024412,113.998841712901,13.6071420114902,0.342994665061714,0.664069401466532
"ACC_5","1",17.370380421905,0.488982543576208,120.643601270541,13.7665503107445,0.319098999151871,0.659290432344552
"ACC_5","1",17.8402635086742,0.517967974469034,127.147261539053,13.9152847987238,0.316282530815101,0.655605370944747
"ACC_5","1",18.3566246000874,0.427781635162534,134.374824540477,14.0788817564786,0.316104651865282,0.652179917570476
"ACC_5","1",18.8371701896457,0.458570091916519,141.176453100051,14.228347735305,0.307007863605884,0.649197315035441
"ACC_5","1",19.306883707444,0.468311730425365,147.893253505802,14.3706823262657,0.300161331645869,0.646604957706132
"ACC_5","1",19.8133928328186,0.472313211381502,155.210423302095,14.5215685134531,0.296633872826205,0.644199662887087
"ACC_5","1",20.2716431509469,0.410233395323528,161.896003126658,14.6568703048048,0.292852761094782,0.642252415926206
"ACC_5","1",20.7778249340939,0.38240428992748,169.351919574779,14.801355913309,0.278814958863613,0.640039046235044
"ACC_5","1",21.2769159204346,0.413879634917599,176.773270996309,14.9371431084099,0.266788800050696,0.638009988312
"ACC_5","1",21.7372088553466,0.373809514663344,183.676722862977,15.0582721355207,0.260855220660928,0.63635809903248
"ACC_5","1",22.2477259260223,0.277596307116048,191.397968089388,15.189979109956,0.255455897050684,0.634704006725981
"ACC_5","1",22.7212565719199,0.250376521431942,198.618881271479,15.3070268596086,0.241001170115458,0.633043973619801
"ACC_5","1",23.2022465242602,0.265035229231723,206.008598088374,15.4188181987668,0.223284520173647,0.631312821639294
"ACC_5","1",23.7119220681617,0.147962394774632,213.894594659503,15.5231045021951,0.186340060348243,0.628918914205089
"ACC_5","1",24.1746643062133,0.166943280633006,221.096494722368,15.6015525049725,0.154223334164101,0.626618322933313
"ACC_5","1",24.6691211647796,0.0970167433766154,228.828180162362,15.6690441901018,0.120201094384997,0.624003013947854
"ACC_5","1",25.1750898384905,0.167928246074109,236.770362311932,15.7230763332472,0.100992631702003,0.621618375493129
